scorer,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000
individuals,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,single,single,single,single,single,single
bodyparts,nose,nose,nose,Rear,Rear,Rear,Lear,Lear,Lear,headbase,headbase,headbase,spine,spine,spine,tailbase,tailbase,tailbase,anteriorC,anteriorC,anteriorC,posteriorC,posteriorC,posteriorC
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
473,365.407,638.222,1.0,326.501,662.952,1.0,335.054,626.301,1.0,325.592,642.82,1.0,301.203,624.094,1.0,285.167,594.808,1.0,,,,,,
474,365.407,638.082,1.0,327.271,662.932,1.0,335.506,626.301,1.0,325.767,642.82,1.0,301.258,624.126,1.0,285.17,594.932,1.0,,,,,,
475,365.647,637.867,1.0,327.638,662.568,1.0,335.536,626.301,1.0,325.824,642.842,1.0,301.398,624.126,1.0,285.254,594.932,1.0,,,,,,
476,366.096,637.675,1.0,328.671,662.568,1.0,335.863,626.075,1.0,326.245,642.923,1.0,301.398,624.126,1.0,285.364,594.932,1.0,,,,,,
477,367.027,637.675,1.0,329.134,662.263,1.0,336.523,626.045,1.0,326.639,642.923,1.0,301.731,624.275,1.0,285.771,596.117,1.0,,,,,,
478,367.616,637.447,1.0,329.895,662.105,1.0,336.861,625.99,1.0,327.152,639.275,1.0,301.863,624.323,1.0,285.792,596.117,1.0,,,,,,
479,367.647,637.319,1.0,330.027,661.858,1.0,336.927,625.496,1.0,327.33,639.207,1.0,301.98,624.413,1.0,286.224,596.282,1.0,,,,,,
480,368.684,637.028,1.0,331.241,662.073,1.0,337.506,625.15,1.0,328.736,638.043,1.0,305.677,628.127,1.0,286.224,596.566,1.0,,,,,,
481,369.925,636.813,1.0,331.486,661.893,1.0,337.517,625.034,1.0,328.784,638.043,1.0,305.727,628.193,1.0,286.224,596.988,1.0,1156.999,282.754,0.31200000643730164,,,
482,370.345,636.618,1.0,331.553,661.999,1.0,337.776,624.953,1.0,328.792,638.043,1.0,305.777,628.312,1.0,286.631,596.988,1.0,,,,,,
483,372.121,636.618,1.0,332.036,661.893,1.0,337.967,624.948,1.0,329.097,638.246,1.0,306.053,628.446,1.0,286.631,597.024,1.0,,,,,,
484,372.66,636.813,1.0,332.212,661.999,1.0,337.967,624.807,1.0,329.266,638.246,1.0,306.117,628.665,1.0,285.977,597.179,1.0,,,,,,
485,372.66,636.507,1.0,332.305,661.893,1.0,338.094,624.753,1.0,329.611,638.262,1.0,306.321,628.729,1.0,285.686,597.426,1.0,,,,,,
486,374.671,640.592,1.0,334.936,661.999,1.0,338.24,624.72,1.0,329.846,638.262,1.0,306.406,628.824,1.0,285.686,597.585,1.0,,,,,,
487,374.671,640.592,1.0,334.974,661.831,1.0,338.291,624.569,1.0,330.173,638.262,1.0,306.406,628.963,1.0,285.3,597.585,1.0,,,,,,
488,375.254,640.592,1.0,335.017,661.831,1.0,338.291,624.19,1.0,330.201,638.262,1.0,306.406,628.975,1.0,285.577,597.712,1.0,,,,,,
489,374.449,636.507,1.0,335.033,661.781,1.0,338.371,623.892,1.0,330.331,638.262,1.0,306.486,629.031,1.0,285.686,598.625,1.0,,,,,,
490,374.449,635.887,1.0,335.193,661.781,1.0,338.371,623.731,1.0,330.331,638.191,1.0,306.461,629.038,1.0,285.998,598.625,1.0,,,,,,
491,374.347,635.887,1.0,335.033,661.725,1.0,338.371,623.693,1.0,330.382,638.191,1.0,306.542,629.085,1.0,285.998,598.088,1.0,,,,,,
492,374.347,636.362,1.0,335.017,661.725,1.0,338.371,623.693,1.0,330.392,638.258,1.0,306.542,629.038,1.0,285.998,598.541,1.0,,,,,,
493,374.347,636.362,1.0,335.002,661.725,1.0,338.213,623.554,1.0,330.548,638.258,1.0,306.461,629.038,1.0,285.998,598.541,1.0,,,,,,
494,374.347,636.606,1.0,334.858,661.725,1.0,338.213,623.348,1.0,330.59,638.513,1.0,306.334,628.811,1.0,286.556,598.541,1.0,,,,,,
495,374.347,636.606,1.0,334.791,661.712,1.0,338.339,623.014,1.0,330.848,638.513,1.0,306.146,628.811,1.0,286.556,598.541,1.0,,,,,,
496,374.2,636.606,1.0,334.721,661.591,1.0,338.339,623.008,1.0,330.959,638.513,1.0,306.146,628.811,1.0,286.42,598.541,1.0,,,,,,
497,374.183,636.34,1.0,332.691,661.182,1.0,338.42,622.995,1.0,331.01,638.409,1.0,306.146,628.827,1.0,286.556,598.398,1.0,,,,,,
498,374.07,636.34,1.0,332.691,661.182,1.0,338.441,622.995,1.0,331.01,638.368,1.0,306.313,628.827,1.0,286.556,598.398,1.0,,,,,,
499,373.838,636.34,1.0,332.691,661.182,1.0,338.506,622.995,1.0,330.959,638.063,1.0,306.313,628.827,1.0,286.42,598.398,1.0,,,,,,
500,372.671,637.218,1.0,332.668,662.043,1.0,338.506,623.884,1.0,330.379,638.063,1.0,306.313,628.844,1.0,286.42,599.272,1.0,,,,,,
501,372.466,637.344,1.0,332.668,662.069,1.0,338.879,624.073,1.0,330.241,638.063,1.0,306.268,628.813,1.0,286.284,599.272,1.0,,,,,,
502,372.466,638.068,1.0,332.839,662.234,1.0,338.879,624.092,1.0,329.987,638.083,1.0,306.167,628.808,1.0,286.284,599.68,1.0,,,,,,
503,372.466,638.174,1.0,332.839,662.278,1.0,338.879,624.097,1.0,329.967,638.156,1.0,306.118,628.808,1.0,286.462,599.344,1.0,,,,,,
504,372.758,638.25,1.0,332.839,662.278,1.0,338.879,624.196,1.0,329.633,638.158,1.0,306.167,628.806,1.0,286.58,599.344,1.0,,,,,,
505,372.86,639.123,1.0,334.246,662.702,1.0,339.165,624.614,1.0,329.633,638.72,1.0,306.118,628.707,1.0,286.462,599.324,1.0,,,,,,
506,373.201,639.133,1.0,334.246,663.196,1.0,339.327,624.812,1.0,329.633,638.79,1.0,306.039,628.685,1.0,286.462,599.324,1.0,,,,,,
507,373.224,639.597,1.0,334.246,663.293,1.0,339.327,624.812,1.0,329.84,638.836,1.0,306.039,628.625,1.0,286.157,599.12,1.0,,,,,,
508,373.394,639.597,1.0,334.246,663.295,1.0,339.327,624.614,1.0,329.84,638.79,1.0,306.039,628.55,1.0,286.094,599.009,1.0,,,,,,
509,373.772,639.597,1.0,334.246,663.468,1.0,339.125,623.981,1.0,329.942,638.79,1.0,305.936,628.532,1.0,285.891,598.924,1.0,,,,,,
510,374.315,639.698,1.0,334.267,663.604,1.0,339.125,623.981,1.0,329.947,638.861,1.0,305.935,628.532,1.0,285.656,599.009,1.0,,,,,,
511,374.442,639.816,1.0,334.54,663.604,1.0,339.125,623.981,1.0,329.947,638.879,1.0,305.853,628.398,1.0,285.656,599.008,1.0,,,,,,
512,374.442,639.816,1.0,334.604,663.601,1.0,339.181,624.467,1.0,329.947,639.024,1.0,305.867,628.387,1.0,285.685,599.008,1.0,,,,,,
513,374.417,639.859,1.0,334.665,663.58,1.0,339.196,624.708,1.0,329.947,639.024,1.0,305.867,628.387,1.0,285.685,599.154,1.0,1162.141,283.777,0.367000013589859,,,
514,374.315,639.859,1.0,334.673,663.601,1.0,339.449,624.878,1.0,330.02,639.026,1.0,305.867,628.398,1.0,286.312,599.183,1.0,,,,,,
515,374.386,639.816,1.0,335.069,663.58,1.0,339.525,624.945,1.0,330.02,639.026,1.0,305.867,628.398,1.0,286.312,599.437,1.0,,,,,,
516,374.3,639.754,1.0,335.134,663.58,1.0,339.525,624.945,1.0,330.374,639.184,1.0,305.902,628.387,1.0,285.81,599.437,1.0,,,,,,
517,374.3,639.458,1.0,335.307,663.585,1.0,339.683,624.945,1.0,330.606,639.184,1.0,305.902,628.268,1.0,286.392,599.437,1.0,,,,,,
518,374.293,639.377,1.0,335.481,663.585,1.0,339.874,624.945,1.0,330.687,639.196,1.0,305.959,628.217,1.0,286.392,599.191,1.0,,,,,,
519,374.386,639.377,1.0,335.576,663.469,1.0,339.874,624.789,1.0,330.716,639.196,1.0,305.959,628.156,1.0,286.006,599.119,1.0,,,,,,
520,374.496,639.458,1.0,335.631,663.585,1.0,339.874,624.783,1.0,330.851,639.209,1.0,306.029,628.156,1.0,286.531,598.845,1.0,,,,,,
521,374.618,639.538,1.0,335.822,663.585,1.0,339.874,624.783,1.0,330.851,639.209,1.0,306.029,628.156,1.0,286.531,598.845,1.0,,,,,,
522,374.747,640.479,1.0,335.822,663.785,1.0,339.874,624.783,1.0,330.909,639.372,1.0,306.123,628.255,1.0,286.203,598.965,1.0,,,,,,
523,374.747,640.785,1.0,335.832,663.966,1.0,340.285,625.197,1.0,330.881,639.449,1.0,306.31,628.392,1.0,286.203,598.965,1.0,,,,,,
524,374.747,641.056,1.0,335.866,663.966,1.0,340.328,625.227,1.0,330.881,639.449,1.0,306.31,628.392,1.0,286.433,598.921,1.0,,,,,,
525,374.962,641.498,1.0,335.866,663.966,1.0,340.597,625.34,1.0,330.822,639.578,1.0,306.31,628.392,1.0,286.203,598.957,1.0,,,,,,
526,374.962,641.529,1.0,335.866,664.15,1.0,340.597,625.34,1.0,330.881,639.583,1.0,306.293,628.412,1.0,286.433,598.921,1.0,,,,,,
527,375.166,641.871,1.0,335.913,664.082,1.0,340.884,625.483,1.0,330.881,639.646,1.0,306.277,628.264,1.0,286.456,598.894,1.0,,,,,,
528,375.29,641.93,1.0,335.963,663.916,1.0,340.934,625.659,1.0,330.969,639.829,1.0,306.277,628.241,1.0,286.497,598.862,1.0,,,,,,
529,375.349,641.953,1.0,336.015,664.071,1.0,340.982,625.66,1.0,331.397,640.22,1.0,306.293,628.249,1.0,286.9,598.661,1.0,,,,,,
530,375.349,641.953,1.0,336.08,664.071,1.0,340.982,625.66,1.0,331.474,640.22,1.0,306.437,628.249,1.0,287.077,598.65,1.0,,,,,,
531,375.29,641.953,1.0,336.08,664.057,1.0,340.934,625.483,1.0,332.004,642.307,1.0,306.437,628.249,1.0,287.147,598.461,1.0,,,,,,
532,375.223,641.861,1.0,336.156,663.916,1.0,340.934,625.21,1.0,332.004,642.307,1.0,306.437,628.249,1.0,287.886,598.397,1.0,,,,,,
533,374.813,641.807,1.0,336.08,664.057,1.0,340.926,625.184,1.0,331.897,640.147,1.0,306.382,628.321,1.0,287.886,598.218,1.0,1156.656,282.824,0.2590000033378601,,,
534,374.813,641.499,1.0,336.099,664.005,1.0,340.608,625.129,1.0,331.755,640.012,1.0,306.228,628.442,1.0,287.886,598.073,1.0,,,,,,
535,374.813,641.418,1.0,335.978,664.005,1.0,340.553,624.846,1.0,331.755,640.012,1.0,306.091,628.442,1.0,287.702,598.218,1.0,,,,,,
536,374.813,640.622,1.0,335.978,663.743,1.0,340.516,624.737,1.0,331.694,639.947,1.0,306.07,628.442,1.0,287.702,598.209,1.0,,,,,,
537,374.814,640.371,1.0,335.741,663.603,1.0,340.398,624.325,1.0,331.608,639.538,1.0,306.059,628.504,1.0,287.702,598.218,1.0,,,,,,
538,374.814,640.157,1.0,335.552,663.464,1.0,340.303,624.018,1.0,331.443,639.324,1.0,305.95,628.504,1.0,287.727,598.209,1.0,,,,,,
539,374.705,640.111,1.0,335.397,663.321,1.0,340.303,624.018,1.0,331.403,639.281,1.0,305.763,628.504,1.0,287.727,598.209,1.0,,,,,,
540,374.642,640.111,1.0,335.328,663.321,1.0,340.303,624.018,1.0,331.403,639.176,1.0,305.708,628.504,1.0,287.727,598.192,1.0,,,,,,
541,374.642,640.157,1.0,335.293,663.298,1.0,340.391,623.885,1.0,331.403,639.176,1.0,305.708,628.415,1.0,287.727,598.192,1.0,,,,,,
542,374.126,640.566,1.0,334.835,663.289,1.0,340.391,623.885,1.0,331.299,639.169,1.0,305.658,628.159,1.0,287.444,597.924,1.0,,,,,,
543,374.126,640.566,1.0,333.26,662.676,1.0,340.435,623.843,1.0,331.244,639.14,1.0,305.658,628.159,1.0,287.223,597.924,1.0,,,,,,
544,374.126,640.566,1.0,333.232,662.663,1.0,340.441,623.585,1.0,331.299,639.14,1.0,306.041,628.058,1.0,287.223,598.218,1.0,,,,,,
545,374.126,640.566,1.0,333.211,662.663,1.0,340.483,623.585,1.0,331.46,639.193,1.0,306.068,628.058,1.0,287.223,598.385,1.0,,,,,,
546,373.648,640.764,1.0,333.05,662.676,1.0,340.483,623.78,1.0,331.46,639.193,1.0,306.075,628.163,1.0,286.999,598.385,1.0,,,,,,
547,373.648,640.764,1.0,332.985,662.791,1.0,340.483,623.843,1.0,331.489,639.477,1.0,306.127,628.201,1.0,286.999,598.385,1.0,,,,,,
548,373.648,640.947,1.0,332.828,662.891,1.0,340.485,624.11,1.0,331.963,639.787,1.0,306.2,628.201,1.0,287.272,598.293,1.0,,,,,,
549,373.648,641.546,1.0,332.719,662.979,1.0,340.485,624.318,1.0,331.963,639.787,1.0,306.2,628.201,1.0,287.377,598.11,1.0,,,,,,
550,373.68,641.773,1.0,332.719,662.891,1.0,340.669,624.318,1.0,331.654,639.787,1.0,306.2,628.163,1.0,287.507,598.11,1.0,,,,,,
551,373.751,641.961,1.0,332.828,663.086,1.0,340.708,624.318,1.0,331.654,639.78,1.0,306.071,628.263,1.0,287.507,598.293,1.0,,,,,,
552,373.751,642.324,1.0,332.833,663.086,1.0,340.795,624.318,1.0,331.609,639.683,1.0,306.068,628.156,1.0,287.506,598.546,1.0,,,,,,
553,373.68,642.324,1.0,332.833,663.086,1.0,340.795,624.304,1.0,331.522,639.683,1.0,306.068,628.156,1.0,287.421,598.907,1.0,1157.012,282.733,0.7310000061988831,,,
554,373.629,642.324,1.0,332.833,663.257,1.0,340.869,624.304,1.0,331.387,639.78,1.0,306.068,628.269,1.0,287.506,598.907,1.0,,,,,,
555,373.316,642.313,1.0,332.597,663.426,1.0,340.877,624.455,1.0,331.387,639.78,1.0,306.118,628.394,1.0,287.506,599.045,1.0,,,,,,
556,373.209,642.039,1.0,332.597,663.483,1.0,340.877,624.455,1.0,331.311,639.878,1.0,306.225,628.413,1.0,287.635,599.061,1.0,,,,,,
557,372.886,642.039,1.0,332.5,663.483,1.0,340.877,624.605,1.0,331.496,639.878,1.0,306.264,628.413,1.0,287.68,599.061,1.0,,,,,,
558,372.886,642.033,1.0,332.597,663.483,1.0,340.956,624.927,1.0,331.311,639.878,1.0,306.331,628.413,1.0,287.68,598.962,1.0,,,,,,
559,372.886,642.026,1.0,332.611,663.42,1.0,341.315,625.07,1.0,331.308,639.878,1.0,306.331,628.35,1.0,287.904,598.962,1.0,,,,,,
560,372.954,642.033,1.0,332.611,663.42,1.0,341.315,625.07,1.0,331.308,639.917,1.0,306.331,628.288,1.0,287.904,598.834,1.0,,,,,,
561,372.954,642.416,1.0,332.654,663.42,1.0,341.315,625.347,1.0,331.32,639.985,1.0,306.345,628.288,1.0,287.639,598.821,1.0,,,,,,
562,372.954,642.798,1.0,332.663,663.724,1.0,341.006,625.347,1.0,331.32,640.038,1.0,306.345,628.35,1.0,287.251,598.821,1.0,,,,,,
563,373.339,642.798,1.0,332.698,664.285,1.0,341.006,625.347,1.0,331.375,640.23,1.0,306.163,628.526,1.0,287.034,598.821,1.0,,,,,,
564,373.339,642.817,1.0,332.654,664.362,1.0,341.006,625.347,1.0,331.377,640.295,1.0,306.15,628.537,1.0,286.969,599.104,1.0,,,,,,
565,373.969,642.922,1.0,332.698,664.434,1.0,341.006,625.347,1.0,331.399,640.295,1.0,306.15,628.721,1.0,287.034,599.274,1.0,,,,,,
566,373.969,642.934,1.0,332.869,664.434,1.0,341.076,625.46,1.0,331.399,640.307,1.0,306.15,628.721,1.0,287.034,599.274,1.0,,,,,,
567,374.04,642.934,1.0,332.916,664.613,1.0,341.076,625.46,1.0,331.49,640.323,1.0,306.155,628.721,1.0,286.969,599.274,1.0,1157.226,282.398,0.3529999852180481,,,
568,374.04,643.182,1.0,332.952,664.866,1.0,341.022,625.46,1.0,331.501,640.323,1.0,306.155,628.726,1.0,286.94,599.274,1.0,,,,,,
569,374.04,643.308,1.0,333.039,665.128,1.0,341.022,625.641,1.0,331.584,642.741,1.0,306.155,628.642,1.0,286.502,599.02,1.0,,,,,,
570,374.04,643.44,1.0,333.039,665.311,1.0,341.032,625.807,1.0,331.584,642.741,1.0,305.844,628.626,1.0,286.502,599.008,1.0,,,,,,
571,374.133,643.588,1.0,333.039,665.455,1.0,341.032,625.807,1.0,331.584,642.741,1.0,305.844,628.626,1.0,286.502,599.008,1.0,,,,,,
572,374.133,643.904,1.0,332.981,665.655,1.0,341.051,626.375,1.0,331.584,642.696,1.0,305.844,628.626,1.0,287.16,598.766,1.0,,,,,,
573,374.252,644.098,1.0,332.981,665.992,1.0,341.076,626.404,1.0,331.584,642.606,1.0,305.884,628.573,1.0,287.587,598.752,1.0,,,,,,
574,374.661,644.098,1.0,332.981,665.992,1.0,341.869,626.837,1.0,331.773,642.606,1.0,305.911,628.57,1.0,287.587,598.552,1.0,,,,,,
575,374.655,644.098,1.0,333.001,665.992,1.0,341.968,626.845,1.0,331.874,642.606,1.0,305.952,628.499,1.0,287.638,598.552,1.0,1162.667,284.395,0.11400000005960464,,,
576,374.77,644.13,1.0,334.874,666.103,1.0,341.968,626.845,1.0,331.937,642.66,1.0,305.956,628.499,1.0,287.638,598.552,1.0,1162.912,,0.2029999941587448,,,
577,374.77,644.169,1.0,335.019,666.103,1.0,341.968,626.861,1.0,331.937,642.665,1.0,305.956,628.481,1.0,287.587,599.033,1.0,1162.667,284.272,,,,
578,374.77,644.169,1.0,334.918,666.034,1.0,341.841,626.845,1.0,331.874,642.713,1.0,305.911,628.499,1.0,287.364,599.245,1.0,1162.912,284.272,0.10599999874830246,,,
579,374.77,644.169,1.0,334.918,666.034,1.0,341.8,626.783,1.0,331.874,642.786,1.0,305.989,628.528,1.0,287.276,599.544,1.0,,,,,,
580,374.935,644.078,1.0,334.918,666.034,1.0,341.787,626.693,1.0,331.858,642.786,1.0,305.825,628.583,1.0,287.276,599.544,1.0,,,,,,
581,374.935,644.078,1.0,334.918,665.954,1.0,341.648,626.642,1.0,331.858,642.786,1.0,305.825,628.583,1.0,287.276,599.572,1.0,,,,,,
582,374.935,644.071,1.0,333.354,665.647,1.0,341.496,626.525,1.0,331.858,642.768,1.0,305.989,628.601,1.0,287.663,599.572,1.0,,,,,,
583,374.262,644.071,1.0,333.294,665.617,1.0,341.432,626.413,1.0,331.858,642.741,1.0,306.097,628.601,1.0,287.664,599.187,1.0,,,,,,
584,374.262,643.676,1.0,333.119,665.392,1.0,341.314,626.159,1.0,331.835,642.621,1.0,306.097,628.583,1.0,287.76,599.096,1.0,,,,,,
585,374.262,643.508,1.0,333.084,665.27,1.0,341.244,625.882,1.0,331.785,642.537,1.0,306.097,628.617,1.0,287.664,599.096,1.0,,,,,,
586,374.301,642.856,1.0,333.084,664.938,1.0,341.244,625.769,1.0,331.539,642.374,1.0,306.155,628.446,1.0,287.663,598.973,1.0,,,,,,
587,374.529,642.841,1.0,333.084,664.938,1.0,341.244,625.699,1.0,331.398,642.286,1.0,306.044,628.415,1.0,287.238,598.861,1.0,,,,,,
588,374.529,642.841,1.0,333.065,664.836,1.0,341.387,625.699,1.0,331.368,640.109,1.0,306.044,628.415,1.0,285.93,598.861,1.0,,,,,,
589,374.529,642.818,1.0,333.065,664.68,1.0,341.692,625.738,1.0,331.288,640.068,1.0,306.043,628.179,1.0,285.93,598.973,1.0,,,,,,
590,374.279,642.818,1.0,333.065,664.648,1.0,341.692,625.699,1.0,331.189,640.068,1.0,306.043,628.014,1.0,285.966,599.035,1.0,,,,,,
591,374.185,642.807,1.0,333.019,664.648,1.0,341.544,625.603,1.0,331.189,640.068,1.0,305.951,628.014,1.0,285.966,599.081,1.0,,,,,,
592,374.185,642.305,1.0,332.763,664.351,1.0,341.544,625.424,1.0,331.189,640.183,1.0,305.974,628.131,1.0,285.966,599.235,1.0,,,,,,
593,374.279,642.126,1.0,332.601,664.351,1.0,341.408,625.273,1.0,331.189,640.311,1.0,305.974,628.131,1.0,285.966,599.238,1.0,,,,,,
594,374.355,642.126,1.0,332.53,664.257,1.0,341.214,625.273,1.0,331.189,640.362,1.0,305.974,628.161,1.0,285.86,599.238,1.0,,,,,,
595,374.355,642.23,1.0,332.53,664.351,1.0,341.408,625.424,1.0,331.184,640.362,1.0,305.974,628.179,1.0,285.86,599.502,1.0,,,,,,
596,374.417,642.23,1.0,332.53,664.351,1.0,341.406,625.424,1.0,331.184,640.362,1.0,306.067,628.179,1.0,285.86,599.238,1.0,,,,,,
597,374.355,642.23,1.0,332.68,664.257,1.0,341.175,625.273,1.0,331.184,640.237,1.0,306.067,628.37,1.0,286.251,598.98,1.0,,,,,,
598,373.722,642.462,1.0,332.68,664.257,1.0,341.175,625.237,1.0,331.184,640.237,1.0,305.852,628.587,1.0,286.607,598.91,1.0,,,,,,
599,373.301,642.575,1.0,332.68,664.362,1.0,340.6,625.237,1.0,330.942,640.237,1.0,305.768,628.587,1.0,286.649,598.91,1.0,,,,,,
600,373.301,642.755,1.0,332.312,664.247,1.0,340.6,625.107,1.0,330.942,640.285,1.0,305.744,628.587,1.0,286.649,598.91,1.0,,,,,,
601,373.178,642.891,1.0,332.306,664.362,1.0,340.6,625.107,1.0,330.942,640.335,1.0,305.744,628.59,1.0,286.607,598.98,1.0,,,,,,
602,373.301,642.95,1.0,332.279,664.544,1.0,340.699,625.288,1.0,331.211,640.406,1.0,305.768,628.575,1.0,285.758,599.149,1.0,,,,,,
603,373.327,643.022,1.0,332.279,664.588,1.0,340.863,625.349,1.0,331.313,640.737,1.0,306.11,628.409,1.0,285.758,599.166,1.0,,,,,,
604,373.432,643.283,1.0,332.232,664.92,1.0,340.867,625.413,1.0,331.419,640.737,1.0,306.11,628.409,1.0,285.758,599.328,1.0,,,,,,
605,373.327,643.299,1.0,332.238,665.201,1.0,340.867,625.444,1.0,331.419,640.751,1.0,306.11,628.509,1.0,286.306,599.423,1.0,,,,,,
606,373.432,643.362,1.0,332.238,665.22,1.0,341.06,625.592,1.0,331.397,640.787,1.0,306.11,628.509,1.0,286.433,599.328,1.0,,,,,,
607,373.341,643.454,1.0,332.238,665.639,1.0,341.089,626.317,1.0,331.419,640.787,1.0,306.11,628.636,1.0,286.586,599.328,1.0,,,,,,
608,373.341,644.034,1.0,332.238,665.74,1.0,341.097,626.317,1.0,331.419,642.126,1.0,306.093,628.636,1.0,286.589,599.445,1.0,,,,,,
609,373.244,644.068,1.0,332.251,665.871,1.0,341.243,626.498,1.0,331.774,642.16,1.0,306.093,628.636,1.0,286.74,599.445,1.0,,,,,,
610,372.394,644.068,1.0,332.453,666.002,1.0,341.153,626.498,1.0,331.774,642.177,1.0,305.88,628.695,1.0,286.611,599.371,1.0,,,,,,
611,372.394,644.334,1.0,332.453,666.002,1.0,341.153,626.498,1.0,331.774,642.215,1.0,305.858,628.695,1.0,286.611,599.371,1.0,,,,,,
612,372.317,644.334,1.0,332.484,666.002,1.0,341.153,626.364,1.0,331.396,642.518,1.0,305.825,628.732,1.0,286.611,599.371,1.0,,,,,,
613,372.317,644.334,1.0,332.484,666.002,1.0,341.123,626.364,1.0,331.394,642.617,1.0,305.825,628.836,1.0,286.611,599.371,1.0,,,,,,
614,372.121,644.429,1.0,332.484,665.991,1.0,340.491,625.896,1.0,331.12,642.638,1.0,305.825,628.932,1.0,286.396,599.562,1.0,,,,,,
615,371.961,645.075,1.0,332.382,665.991,1.0,340.491,625.896,1.0,331.107,642.851,1.0,305.917,629.002,1.0,286.396,599.562,1.0,,,,,,
616,371.961,645.075,1.0,332.382,665.991,1.0,340.412,625.896,1.0,331.017,642.851,1.0,305.951,629.082,1.0,286.3,599.562,1.0,,,,,,
617,371.961,645.075,1.0,332.174,666.014,1.0,340.412,625.983,1.0,331.017,642.888,1.0,305.981,629.114,1.0,286.244,599.313,1.0,,,,,,
618,372.294,644.732,1.0,332.078,666.058,1.0,340.534,625.983,1.0,331.005,642.888,1.0,305.99,629.12,1.0,286.221,599.313,1.0,,,,,,
619,372.656,644.732,1.0,332.078,666.058,1.0,340.534,625.983,1.0,331.005,642.799,1.0,306.05,629.153,1.0,286.03,599.313,1.0,,,,,,
620,372.656,644.732,1.0,332.078,665.932,1.0,340.534,625.983,1.0,330.939,642.79,1.0,306.05,629.153,1.0,286.03,599.351,1.0,,,,,,
621,372.656,644.865,1.0,332.078,665.889,1.0,340.605,626.012,1.0,330.667,640.783,1.0,305.981,629.153,1.0,286.078,599.713,1.0,1156.394,282.709,0.10999999940395355,,,
622,371.714,645.478,1.0,332.272,665.82,1.0,340.534,626.012,1.0,330.667,640.783,1.0,305.868,629.097,1.0,286.221,599.713,1.0,,,,,,
623,371.714,645.478,1.0,332.272,665.696,1.0,340.48,626.118,1.0,330.961,640.911,1.0,305.868,629.028,1.0,286.078,599.713,1.0,,,,,,
624,371.714,645.478,1.0,332.256,665.676,1.0,340.385,626.476,1.0,330.781,640.847,1.0,305.868,628.965,1.0,286.086,599.713,1.0,1157.078,283.167,0.1420000046491623,,,
625,372.082,645.419,1.0,332.213,665.593,1.0,340.321,626.476,1.0,330.781,640.847,1.0,305.937,628.965,1.0,286.293,599.384,1.0,,,,,,
626,372.38,645.328,1.0,332.213,665.593,1.0,340.321,626.178,1.0,330.961,640.911,1.0,306.071,628.951,1.0,286.086,599.273,1.0,,,,,,
627,372.38,645.328,1.0,331.989,665.593,1.0,340.385,626.118,1.0,330.781,640.847,1.0,306.071,628.945,1.0,285.388,599.106,1.0,,,,,,
628,372.082,645.328,1.0,331.974,665.419,1.0,340.517,626.118,1.0,330.626,640.686,1.0,305.937,628.945,1.0,286.057,598.963,1.0,1157.371,282.954,0.4020000100135803,,,
629,372.2,645.328,1.0,331.967,665.295,1.0,340.517,625.973,1.0,330.626,640.45,1.0,305.937,628.676,1.0,285.517,598.963,1.0,,,,,,
630,372.2,645.328,1.0,331.974,665.085,1.0,340.517,626.002,1.0,330.557,640.422,1.0,305.595,628.468,1.0,285.517,598.963,1.0,,,,,,
631,372.2,644.938,1.0,331.974,665.085,1.0,340.517,625.973,1.0,330.557,640.422,1.0,305.595,628.468,1.0,286.057,598.963,1.0,,,,,,
632,372.815,644.605,1.0,331.796,665.044,1.0,340.466,625.943,1.0,330.355,640.422,1.0,305.595,628.468,1.0,286.057,599.055,1.0,,,,,,
